Kinase,OTSSP167 (1 μM) % AR,OTSSP167 (1 μM) SD,HTH-01-091 (1 μM) % AR,HTH-01-091 (1 μM) SD,Diff,SD Diff
MKK2,10,1,75,9,65,9.055385138
CDK2-Cyclin A,2,0,67,16,65,16
PKB beta,24,2,88,5,64,5.385164807
IKK beta,41,1,104,13,63,13.03840481
PRAK,16,0,78,4,62,4
EPH-A4,1,1,63,3,62,3.16227766
RSK2,1,1,62,11,61,11.04536102
ULK1,32,0,93,1,61,1
SGK1,12,0,72,4,60,4
MSK1,5,0,65,2,60,2
PAK6,29,3,89,4,60,5
MKK1,3,0,62,5,59,5
EPH-A2,7,0,66,8,59,8
PAK5,19,1,73,5,54,5.099019514
MAP4K3,1,0,55,1,54,1
MLK3,2,1,54,0,52,1
TrkA,1,2,53,8,52,8.246211251
TTK,3,2,53,3,50,3.605551275
Src,5,3,54,2,49,3.605551275
OSR1,45,3,93,4,48,5
RSK1,3,2,48,4,45,4.472135955
TESK1,51,9,95,0,44,9
DDR2,0,0,44,2,44,2
VEGFR1,1,0,43,4,42,4
NEK2a,59,11,100,7,41,13.03840481
MST2,7,2,45,0,38,2
BTK,7,3,45,5,38,5.830951895
TLK1,58,1,95,6,37,6.08276253
MINK1,2,1,38,1,36,1.414213562
JAK2,3,1,39,2,36,2.236067977
Lck,0,0,35,5,35,5
MLK1,1,1,35,0,34,1
ROCK 2,49,1,82,5,33,5.099019514
CHK2,1,0,34,0,33,0
AMPK (hum),1,0,34,3,33,3
ERK1,88,1,119,17,31,17.02938637
CK1 delta,6,5,36,5,30,7.071067812
MAP4K5,3,1,32,0,29,1
HIPK3,0,0,25,4,25,4
HIPK1,0,0,24,3,24,3
ERK8,1,1,24,4,23,4.123105626
CK2,1,0,23,4,22,4
DYRK1A,1,0,23,2,22,2
Aurora B,14,1,35,2,21,2.236067977
TTBK1,82,6,103,5,21,7.810249676
TAK1,1,0,22,0,21,0
ZAP70,78,13,98,15,20,19.84943324
MKK6,80,2,99,10,19,10.19803903
LKB1,83,8,100,11,17,13.60147051
DYRK2,1,0,18,1,17,1
STK33,10,1,26,1,16,1.414213562
GCK,0,0,16,1,16,1
MEKK1,96,19,111,8,15,20.61552813
TAO1,3,0,18,1,15,1
PDGFRA,20,23,35,4,15,23.34523506
DAPK1,1,0,15,1,14,1
PAK2,74,10,88,24,14,26
YES1,18,9,32,0,14,9
HIPK2,2,2,13,6,11,6.32455532
CLK2,0,0,11,0,11,0
MELK,6,1,13,0,7,1
DYRK3,1,1,5,1,4,1.414213562
PINK,89,13,93,2,4,13.15294644
ERK2,90,5,93,7,3,8.602325267
NEK6,92,3,95,8,3,8.544003745
SmMLCK,6,3,8,1,2,3.16227766
PIM2,0,0,2,0,2,0
PIM3,1,0,1,1,0,1
RIPK2,4,0,3,1,-1,1
AMPK,2,0,#N/A,#N/A,#N/A,#N/A
MAPKAP-K3,94,0,89,5,-5,5
TTBK2,91,8,86,3,-5,8.544003745
PIM1,10,1,1,0,-9,1
WNK1,111,5,101,4,-10,6.403124237
EF2K,114,5,85,13,-29,13.92838828
