GeneSymbol,Name,OTSSP167,STF1285
EPHB3,EPHB3,96.0,94.0
EPHB4,EPHB4,99.0,94.0
EPHB6,EPHB6,0.0,25.0
ERBB2,ERBB2,100.0,100.0
ERBB3,ERBB3,18.0,100.0
ERBB4,ERBB4,91.0,100.0
ERN1,ERN1,20.0,100.0
FER,FER,28.0,91.0
FES,FES,93.0,86.0
FGFR1,FGFR1,93.0,100.0
FGFR2,FGFR2,87.0,82.0
FGFR3,FGFR3,97.5,89.0
FGFR4,FGFR4,100.0,100.0
FGR,FGR,34.0,73.0
FLT1,FLT1,100.0,100.0
FLT3,FLT3,9.340909090909092,7.2
FLT4,FLT4,43.0,84.0
FRK,FRK,90.0,100.0
FYN,FYN,52.0,75.0
GAK,GAK,1.9,22.0
GRK1,GRK1,5.5,75.0
GRK2,ADRBK1,74.0,100.0
GRK3,ADRBK2,100.0,66.0
GRK4,GRK4,100.0,93.0
GRK7,GRK7,0.15,93.0
GSK3A,GSK3A,5.3,88.0
GSK3B,GSK3B,1.1,79.0
HASPIN,GSG2,1.2,0.2
HCK,HCK,3.6,89.0
HIPK1,HIPK1,0.05,37.0
HIPK2,HIPK2,0.1,33.0
HIPK3,HIPK3,0.45,53.0
HIPK4,HIPK4,5.4,93.0
HUNK,HUNK,100.0,100.0
ICK,ICK,4.6,100.0
IGF1R,IGF1R,99.0,94.0
IKBKB,IKBKB,22.0,94.0
IKBKE,IKBKE,0.0,100.0
INSR,INSR,82.0,96.0
INSRR,INSRR,91.0,100.0
IRAK1,IRAK1,3.1,1.1
IRAK3,IRAK3,30.0,23.0
IRAK4,IRAK4,1.2,3.0
ITK,ITK,97.0,89.0
JAK1,JAK1,34.0,100.0
JAK2,JAK2,0.25,100.0
JAK3,JAK3,0.0,34.0
KDR,KDR,6.3,79.0
KIT,KIT,19.58888888888889,3.5
LATS1,LATS1,87.0,100.0
LATS2,LATS2,0.0,100.0
LCK,LCK,0.15,63.0
LIMK1,LIMK1,96.0,93.0
LIMK2,LIMK2,99.0,90.0
LRRK2,LRRK2,2.0500000000000003,26.0
LTK,LTK,15.0,77.0
LYN,LYN,27.0,83.0
MAK,MAK,69.0,100.0
MAP2K1,MAP2K1,1.7,69.0
MAP2K2,MAP2K2,1.7,55.0
MAP2K3,MAP2K3,1.3,31.0
MAP2K4,MAP2K4,16.0,90.0
MAP2K5,MAP2K5,0.0,0.2
MAP2K6,MAP2K6,24.0,94.0
MAP2K7,MAP2K7,0.15,93.0
MAP3K1,MAP3K1,96.0,91.0
MAP3K10,MAP3K10,49.0,100.0
MAP3K11,MAP3K11,13.0,91.0
MAP3K12,MAP3K12,5.7,100.0
MAP3K13,MAP3K13,14.0,95.0
MAP3K14,MAP3K14,100.0,79.0
MAP3K15,MAP3K15,0.55,100.0
MAP3K19,MAP3K19,0.0,2.7
MAP3K2,MAP3K2,2.3,51.0
MAP3K20,ZAK,41.0,66.0
MAP3K3,MAP3K3,0.05,95.0
MAP3K4,MAP3K4,97.0,95.0
MAP3K5,MAP3K5,90.0,92.0
MAP3K6,MAP3K6,34.0,74.0
MAP3K7,MAP3K7,0.5,52.0
MAP3K9,MAP3K9,49.0,92.0
MAP4K1,MAP4K1,28.0,83.0
MAP4K2,MAP4K2,0.0,9.4
MAP4K3,MAP4K3,31.0,45.0
MAP4K4,MAP4K4,25.0,36.0
MAP4K5,MAP4K5,12.0,79.0
MAPK1,MAPK1,94.0,94.0
MAPK10,MAPK10,0.1,98.0
MAPK11,MAPK11,84.0,89.0
MAPK12,MAPK12,0.0,88.0
MAPK13,MAPK13,86.0,98.0
MAPK14,MAPK14,85.0,95.0
MAPK15,MAPK15,0.95,95.0
MAPK3,MAPK3,98.0,98.0
MAPK4,MAPK4,100.0,100.0
MAPK6,MAPK6,84.0,91.0
MAPK7,MAPK7,41.0,92.0
MAPK8,MAPK8,0.0,90.0
MAPK9,MAPK9,5.3,99.0
MAPKAPK2,MAPKAPK2,41.0,100.0
MAPKAPK5,MAPKAPK5,92.0,89.0
MARK1,MARK1,87.0,100.0
MARK2,MARK2,26.0,32.0
MARK3,MARK3,75.0,85.0
MARK4,MARK4,99.0,85.0
MAST1,MAST1,0.0,81.0
MATK,MATK,42.0,88.0
MELK,MELK,6.2,4.7
MERTK,MERTK,14.0,69.0
MET,MET,35.0,68.0
MINK1,MINK1,3.1,10.0
MKNK1,MKNK1,92.0,78.0
MKNK2,MKNK2,71.0,38.0
MST1R,MST1R,50.0,100.0
MTOR,MTOR,36.0,78.0
MUSK,MUSK,96.0,100.0
MYLK,MYLK,0.0,63.0
MYLK2,MYLK2,86.0,86.0
MYLK3,MYLK3,66.0,96.0
MYLK4,MYLK4,24.0,82.0
MYO3A,MYO3A,76.0,90.0
MYO3B,MYO3B,84.0,49.0
NEK1,NEK1,100.0,100.0
NEK10,NEK10,46.0,66.0
NEK11,NEK11,100.0,95.0
NEK2,NEK2,99.0,100.0
NEK3,NEK3,96.0,91.0
NEK4,NEK4,100.0,90.0
NEK5,NEK5,90.0,94.0
NEK6,NEK6,93.0,84.0
NEK7,NEK7,99.0,99.0
NEK9,NEK9,100.0,100.0
NIM1K,MGC42105,100.0,100.0
NLK,NLK,7.8,95.0
NTRK1,NTRK1,1.5,6.1
NTRK2,NTRK2,1.2,12.0
NTRK3,NTRK3,11.0,20.0
NUAK1,NUAK1,18.0,80.0
NUAK2,NUAK2,2.2,38.0
OXSR1,OXSR1,95.0,100.0
PAK1,PAK1,86.0,100.0
PAK2,PAK2,50.0,84.0
PAK3,PAK3,7.8,55.0
PAK4,PAK4,4.3,58.0
PAK5,PAK7,8.2,28.0
PAK6,PAK6,54.0,65.0
PDGFRA,PDGFRA,0.15,3.3
PDGFRB,PDGFRB,0.05,4.9
PDPK1,PDPK1,53.0,98.0
PF3D7_0217500,CDPK1,0.0,56.0
PF3D7_1356900,MAL13P1.279,100.0,91.0
PHKG1,PHKG1,4.9,87.0
PHKG2,PHKG2,4.9,32.0
PI4KB,PI4KB,0.0,95.0
PIK3C2B,PIK3C2B,0.45,98.0
PIK3C2G,PIK3C2G,0.1,83.0
PIK3C3,PIK3C3,100.0,97.0
PIK3CA,PIK3CA,16.09,89.0
PIK3CB,PIK3CB,1.6,90.0
PIK3CD,PIK3CD,31.0,81.0
PIK3CG,PIK3CG,0.85,63.0
PIKFYVE,PIKFYVE,15.0,100.0
PIM1,PIM1,0.35,97.0
PIM2,PIM2,0.9,100.0
PIM3,PIM3,0.45,97.0
PIP4K2B,PIP4K2B,92.0,100.0
PIP4K2C,PIP4K2C,2.3,75.0
PIP5K1A,PIP5K1A,100.0,100.0
PIP5K1C,PIP5K1C,15.0,100.0
PKMYT1,PKMYT1,89.0,91.0
PKN1,PKN1,10.0,81.0
PKN2,PKN2,43.0,93.0
PLK1,PLK1,11.0,98.0
PLK2,PLK2,31.0,90.0
PLK3,PLK3,70.0,86.0
PLK4,PLK4,0.0,97.0
PNCK,PNCK,60.0,81.0
PRKAA1,PRKAA1,46.0,100.0
PRKAA2,PRKAA2,69.0,96.0
PRKACA,PRKACA,98.0,91.0
PRKACB,PRKACB,100.0,99.0
PRKCD,PRKCD,1.6,100.0
PRKCE,PRKCE,13.0,100.0
PRKCH,PRKCH,24.0,100.0
PRKCI,PRKCI,24.0,98.0
PRKCQ,PRKCQ,0.0,82.0
PRKD1,PRKD1,44.0,96.0
PRKD2,PRKD2,7.1,99.0
PRKD3,PRKD3,0.2,86.0
PRKG1,PRKG1,100.0,100.0
PRKG2,PRKG2,0.1,100.0
PRKX,PRKX,100.0,100.0
PRPF4B,PRPF4B,100.0,100.0
PTK2,PTK2,92.0,94.0
PTK2B,PTK2B,38.0,96.0
PTK6,PTK6,100.0,100.0
RAF1,RAF1,100.0,100.0
RET,RET,2.1,98.0
RIOK1,RIOK1,52.0,97.0
RIOK2,RIOK2,0.3,54.0
RIOK3,RIOK3,58.0,84.0
RIPK1,RIPK1,99.0,76.0
RIPK2,RIPK2,36.0,95.0
RIPK4,RIPK4,1.1,100.0
ROCK1,ROCK1,34.0,39.0
ROCK2,ROCK2,54.0,75.0
ROS1,ROS1,28.0,90.0
RPS6KA1,RPS6KA1,24.3,100.0
RPS6KA2,RPS6KA2,33.5,80.0
RPS6KA3,RPS6KA3,0.95,33.0
RPS6KA4,RPS6KA4,44.5,100.0
RPS6KA5,RPS6KA5,37.2,100.0
RPS6KA6,RPS6KA6,0.325,72.0
RPS6KB1,RPS6KB1,0.25,61.0
SBK1,SBK1,100.0,97.0
SBK3,SgK110,100.0,100.0
SGK1,SGK1,1.6,65.0
SGK2,SGK2,20.0,53.0
SGK3,SGK3,4.9,100.0
SIK1,SIK1,73.0,92.0
SIK2,SIK2,65.0,38.0
SIK3,KIAA0999,15.0,70.0
SLK,SLK,2.4,20.0
SNRK,SNRK,96.0,100.0
SRC,SRC,15.0,86.0
SRMS,SRMS,51.0,92.0
SRPK1,SRPK1,46.0,77.0
SRPK2,SRPK2,100.0,100.0
SRPK3,SRPK3,90.0,94.0
STK10,STK10,0.05,50.0
STK11,STK11,100.0,100.0
STK16,STK16,5.2,76.0
STK17A,STK17A,2.3,97.0
STK17B,STK17B,1.6,100.0
STK24,STK24,15.0,93.0
STK25,STK25,18.0,86.0
STK26,MST4,8.6,87.0
STK3,STK3,9.7,66.0
STK32A,STK32A,92.0,100.0
STK32B,STK32B,100.0,100.0
STK32C,STK32C,100.0,95.0
STK33,STK33,1.0,85.0
STK35,STK35,68.0,100.0
STK36,STK36,69.0,90.0
STK38,STK38,57.0,53.0
STK38L,STK38L,63.0,87.0
STK39,STK39,96.0,100.0
STK4,STK4,20.0,100.0
SYK,SYK,74.0,92.0
TAOK1,TAOK1,0.0,92.0
TAOK2,TAOK2,0.0,99.0
TAOK3,TAOK3,0.0,100.0
TBK1,TBK1,16.0,50.0
TEC,TEC,98.0,87.0
TEK,TEK,75.0,99.0
TESK1,TESK1,100.0,96.0
TGFBR1,TGFBR1,99.0,100.0
TGFBR2,TGFBR2,14.0,83.0
TIE1,TIE1,58.0,100.0
TLK1,TLK1,100.0,94.0
TLK2,TLK2,98.0,100.0
TNIK,TNIK,0.5,15.0
TNK1,TNK1,100.0,80.0
TNK2,TNK2,100.0,98.0
TNNI3K,TNNI3K,0.0,100.0
TRPM6,TRPM6,62.0,85.0
TSSK1B,TSSK1B,89.0,83.0
TSSK3,TSSK3,79.0,86.0
TTK,TTK,1.9,75.0
TXK,TXK,11.0,60.0
TYK2,TYK2,50.0,75.0
TYRO3,TYRO3,76.0,88.0
ULK1,ULK1,69.0,93.0
ULK2,ULK2,1.9,89.0
ULK3,ULK3,3.2,70.0
VRK2,VRK2,7.1,74.0
WEE1,WEE1,100.0,83.0
WEE2,WEE2,100.0,100.0
WNK1,WNK1,100.0,100.0
WNK2,WNK2,90.0,87.0
WNK3,WNK3,100.0,100.0
WNK4,WNK4,100.0,99.0
YES1,YES1,73.0,90.0
ZAP70,ZAP70,100.0,100.0
pknB,pknB,15.0,78.0
